"","title","amount","dep","trans","views","city","states","date","time"
"1","I Paid Rs. 111 to Municipal Services in Solapur.",111,"Municipal Services","Birth Certificate",6,"Solapur","Maharashtra",2015-11-03,0
"2","I Paid Rs. 344 to Municipal Services in Almora.",344,"Municipal Services","Birth Certificate",8,"Almora","Uttarakhand",2015-11-03,0
"3","Paid Bribe for Borewell drilling in Bangalore",3700,"Water and Sewage","Water Connection under Sajala",9,"Bangalore","Karnataka",2015-11-03,1
"4","I Paid Rs. 111 to Municipal Services in Abohar.",111,"Municipal Services","Birth Certificate",10,"Abohar","Punjab",2015-11-03,0
"5","I Paid Rs. 1 to Municipal Services in Mumbai.",1,"Municipal Services","Birth Certificate",10,"Mumbai","Maharashtra",2015-11-03,0
"6","I Paid Rs. 5000 to Police in Thane.",5000,"Police","Filing FIR",16,"Thane","Maharashtra",2015-11-03,0
"7","I Paid Rs. 500 to Municipal Services in Lucknow.",500,"Municipal Services","Birth Certificate",17,"Lucknow","Uttar Pradesh",2015-11-03,0
"8","I Paid Rs. 100 to Municipal Services in Mumbai.",100,"Municipal Services","Birth Certificate",13,"Mumbai","Maharashtra",2015-11-03,0
"9","I Paid Rs. 1000 to Police in Hazaribagh.",1000,"Police","Traffic Violations",27,"Hazaribagh","Jharkhand",2015-11-03,0
"10","I Paid Rs. 50000 to Food, Civil Supplies and Consumer Affairs in Abohar.",50000,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",49,"Abohar","Punjab",2015-11-03,0
"11","I Paid Rs. 500000 to Commercial Tax, Sales Tax, VAT in Kolkata.",5e+05,"Commercial Tax, Sales Tax, VAT","C Form",83,"Kolkata","West Bengal",2015-11-03,0
"12","Bribe for passport verification",200,"Police","Police Verification for Passport",107,"Bangalore","Karnataka",2015-11-02,0
"13","I Paid Rs. 2 to Police in Adari.",2,"Police","Filing FIR",125,"Adari","Uttar Pradesh",2015-11-02,0
"14","I Paid Rs. 10000 to Railways in Chandigarh.",10000,"Railways","Transport of Goods",143,"Chandigarh","Chandigarh",2015-11-02,0
